순위,albumImage,곡명,가수,앨범
['1위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,['I AM'],IVE (아이브),"[""I've IVE""]"
['2위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/120/quality/80/optimize,['UNFORGIVEN (feat. Nile Rodgers)'],LE SSERAFIM (르세라핌),['UNFORGIVEN']
['3위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,['Kitsch'],IVE (아이브),"[""I've IVE""]"
['4위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,['손오공'],세븐틴 (SEVENTEEN),"[""SEVENTEEN 10th Mini Album ‘FML'""]"
['5위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,['Spicy'],aespa,['MY WORLD - The 3rd Mini Album']
['6위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/120/quality/80/optimize,['꽃'],지수 (JISOO),['ME']
['7위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,['Ditto'],NewJeans,"[""NewJeans 'OMG'""]"
['8위'],https:https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,['Hype boy'],NewJeans,"[""NewJeans 1st EP 'New Jeans'""]"
['9위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize,['파이팅 해야지 (Feat. 이영지)'],부석순 (SEVENTEEN),"[""부석순 1st Single Album 'SECOND WIND'""]"
['10위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/120/quality/80/optimize,['물론'],허각,['물론']
['11위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,['헤어지자 말해요'],박재정,['1집 Alone']
['12위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,['OMG'],NewJeans,"[""NewJeans 'OMG'""]"
['13위'],https:https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,['사랑은 늘 도망가'],임영웅,['신사와 아가씨 OST Part.2']
['14위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/24/405/11224405_20230414143309_500.jpg/melon/resize/120/quality/80/optimize,['FRIEND THE END'],볼빨간사춘기,['사랑.zip']
['15위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,['Teddy Bear'],STAYC(스테이씨),['Teddy Bear']
['16위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize,['사건의 지평선'],윤하 (YOUNHA),"[""YOUNHA 6th Album Repackage 'END THEORY : Final Edition'""]"
['17위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['우리들의 블루스'],임영웅,['IM HERO']
['18위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/30/265/11230265_20230424170802_500.jpg/melon/resize/120/quality/80/optimize,['Heaven(2023)'],임재현,['시작은 첫키스 OST Part.1']
['19위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/19/412/11219412_20230421104829_500.jpg/melon/resize/120/quality/80/optimize,['사람 Pt.2 (feat. 아이유)'],Agust D,['D-DAY']
['20위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/22/887/11222887_20230412154617_500.jpg/melon/resize/120/quality/80/optimize,['빛이 나는 너에게'],던 (DAWN),['빛이 나는 너에게']
['21위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['다시 만날 수 있을까'],임영웅,['IM HERO']
['22위'],https:https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,"[""I Don't Think That I Like Her""]",Charlie Puth,['CHARLIE']
['23위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/88/020/11188020_20230223114923_500.jpg/melon/resize/120/quality/80/optimize,['Cupid'],FIFTY FIFTY,['The Beginning: Cupid']
['24위'],https:https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg/melon/resize/120/quality/80/optimize,['After LIKE'],IVE (아이브),['After LIKE']
['25위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,['London Boy'],임영웅,['Polaroid']
['26위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,['F*ck My Life'],세븐틴 (SEVENTEEN),"[""SEVENTEEN 10th Mini Album ‘FML'""]"
['27위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg/melon/resize/120/quality/80/optimize,['심(心)'],DK(디셈버),['심(心)']
['28위'],https:https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize,['ANTIFRAGILE'],LE SSERAFIM (르세라핌),['ANTIFRAGILE']
['29위'],https:https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/120/quality/80/optimize,['이제 나만 믿어요'],임영웅,['내일은 미스터트롯 우승자 특전곡']
['30위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,['Polaroid'],임영웅,['Polaroid']
['31위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['무지개'],임영웅,['IM HERO']
['32위'],https:https://cdnimg.melon.co.kr/cm/album/images/023/36/926/2336926_500.jpg/melon/resize/120/quality/80/optimize,['Dangerously'],Charlie Puth,['Nine Track Mind (Deluxe Edition)']
['33위'],https:https://cdnimg.melon.co.kr/cm2/album/images/111/75/689/11175689_20230214163916_500.jpg/melon/resize/120/quality/80/optimize,['CHRISTIAN'],Zior Park,['WHERE DOES SASQUATCH LIVE? PART 1']
['34위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['아버지'],임영웅,['IM HERO']
['35위'],https:https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,['Attention'],NewJeans,"[""NewJeans 1st EP 'New Jeans'""]"
['36위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg/melon/resize/120/quality/80/optimize,['Like Crazy'],지민,['FACE']
['37위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg/melon/resize/120/quality/80/optimize,['LOVE DIVE'],IVE (아이브),['LOVE DIVE']
['38위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/35/799/11235799_20230502104633_500.jpg/melon/resize/120/quality/80/optimize,['나의 바람 (Wind And Wish)'],비투비,['WIND AND WISH']
['39위'],https:https://cdnimg.melon.co.kr/cm2/album/images/110/31/616/11031616_20220817122214_500.jpg/melon/resize/120/quality/80/optimize,['NIGHT DANCER'],imase,['NIGHT DANCER']
['40위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/34/467/11234467_20230428140751_500.jpg/melon/resize/120/quality/80/optimize,['안녕이라고 말하지마'],V.O.S,['안녕이라고 말하지마']
['41위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['인생찬가'],임영웅,['IM HERO']
['42위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['A bientot'],임영웅,['IM HERO']
['43위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/01/031/11201031_20230320162256_500.jpg/melon/resize/120/quality/80/optimize,['Love Me Like This'],NMIXX,['expérgo']
['44위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['손이 참 곱던 그대'],임영웅,['IM HERO']
['45위'],https:https://cdnimg.melon.co.kr/cm2/album/images/112/21/404/11221404_20230411101938_500.jpg/melon/resize/120/quality/80/optimize,['KNOCK'],이채연,['Over The Moon']
['46위'],https:https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/120/quality/80/optimize,['Dynamite'],방탄소년단,['Dynamite (DayTime Version)']
['47위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['사랑해 진짜'],임영웅,['IM HERO']
['48위'],https:https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,['연애편지'],임영웅,['IM HERO']
['49위'],https:https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,['사랑인가 봐'],멜로망스,['사랑인가 봐 (사내맞선 OST 스페셜 트랙)']
['50위'],https:https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize,['봄날'],방탄소년단,['YOU NEVER WALK ALONE']
