rank,img,title,artist,album
50,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",That's Hilarious,Charlie Puth,CHARLIE
1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_140x140.JPG/dims/resize/Q_80,0",I AM,IVE (아이브),I've IVE
2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_140x140.JPG/dims/resize/Q_80,0",Kitsch,IVE (아이브),I've IVE
3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/687/323/83687323_1680228994484_1_140x140.JPG/dims/resize/Q_80,0",꽃,지수 (JISOO),ME
5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
6,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_140x140.JPG/dims/resize/Q_80,0",파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
7,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1672649874616_1_140x140.JPG/dims/resize/Q_80,0",Ditto,NewJeans,NewJeans 'OMG'
8,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/547/302/83547302_1676521029077_1_140x140.JPG/dims/resize/Q_80,0",CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
9,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/322/594/82322594_1633671778123_1_140x140.JPG/dims/resize/Q_80,0",사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
10,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0",Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
11,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/614/128/82614128_1648619377015_1_140x140.JPG/dims/resize/Q_80,0",사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
12,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",우리들의 블루스,임영웅,IM HERO
13,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/506/719/83506719_1676363663803_1_140x140.JPG/dims/resize/Q_80,0",Teddy Bear,STAYC (스테이씨),Teddy Bear
14,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/556/186/83556186_1676621348326_1_140x140.JPG/dims/resize/Q_80,0",심 (心),DK (디셈버),심 (心)
15,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0",London Boy,임영웅,Polaroid
16,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",다시 만날 수 있을까,임영웅,IM HERO
17,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1672649874616_1_140x140.JPG/dims/resize/Q_80,0",OMG,NewJeans,NewJeans 'OMG'
18,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",I Don't Think That I Like Her,Charlie Puth,CHARLIE
19,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
20,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0",Polaroid,임영웅,Polaroid
21,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/410/156/81410156_1585878705990_1_140x140.JPG/dims/resize/Q_80,0",이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
22,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",무지개,임영웅,IM HERO
23,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
24,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
25,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",아버지,임영웅,IM HERO
26,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",A bientot,임영웅,IM HERO
27,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",손이 참 곱던 그대,임영웅,IM HERO
28,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
29,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",사랑해 진짜,임영웅,IM HERO
30,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",연애편지,임영웅,IM HERO
31,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/343/048/83343048_1671754828445_1_140x140.JPG/dims/resize/Q_80,0",건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
32,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",인생찬가,임영웅,IM HERO
33,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/984/82912984_1661135567760_1_140x140.JPG/dims/resize/Q_80,0",After LIKE,IVE (아이브),After LIKE
34,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",보금자리,임영웅,IM HERO
35,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/294/83753294_1682217487712_1_140x140.JPG/dims/resize/Q_80,0",Sunday Night Drive,박재범,Sunday Night Drive
36,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/748/133/83748133_1681960235531_1_140x140.JPG/dims/resize/Q_80,0",헤어지자 말해요,박재정,1집 Alone
37,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/571/396/83571396_1677134962111_1_140x140.JPG/dims/resize/Q_80,0",Cupid,FIFTY FIFTY,The Beginning : Cupid
38,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0",Attention,NewJeans,NewJeans 1st EP 'New Jeans'
39,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/624/363/82624363_1649123068092_1_140x140.JPG/dims/resize/Q_80,0",LOVE DIVE,IVE (아이브),LOVE DIVE
40,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/573/83732573_1681437757420_1_140x140.JPG/dims/resize/Q_80,0",FRIEND THE END,볼빨간사춘기,사랑.zip
41,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/673/272/80673272_1617265225691_1_140x140.JPG/dims/resize/Q_80,0",Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
42,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/082/184/83082184_1665969939180_1_140x140.JPG/dims/resize/Q_80,0",ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
43,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/540/759/82540759_1645152997958_1_140x140.JPG/dims/resize/Q_80,0",사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
44,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/908/447/82908447_1660714837418_1_140x140.JPG/dims/resize/Q_80,0",NIGHT DANCER,imase,NIGHT DANCER
45,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/253/83652253_1679632743168_1_140x140.JPG/dims/resize/Q_80,0",밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
46,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/742/352/83742352_1682312610184_1_140x140.JPG/dims/resize/Q_80,0",마치 (Feat. 키드밀리),meenoi (미노이),마치
47,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/639/088/82639088_1653623843808_1_140x140.JPG/dims/resize/Q_80,0",HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
48,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/547/80401547_1392172764399_1_140x140.JPG/dims/resize/Q_80,0",너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
49,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_140x140.JPG/dims/resize/Q_80,0",The Drum,Alan Walker,"Walkerverse, Pt. I"
50,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",That's Hilarious,Charlie Puth,CHARLIE
1,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_140x140.JPG/dims/resize/Q_80,0",I AM,IVE (아이브),I've IVE
2,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/665/559/83665559_1681116738103_1_140x140.JPG/dims/resize/Q_80,0",Kitsch,IVE (아이브),I've IVE
3,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
4,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/687/323/83687323_1680228994484_1_140x140.JPG/dims/resize/Q_80,0",꽃,지수 (JISOO),ME
5,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",F*ck My Life,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
6,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_140x140.JPG/dims/resize/Q_80,0",파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
7,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1672649874616_1_140x140.JPG/dims/resize/Q_80,0",Ditto,NewJeans,NewJeans 'OMG'
8,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/547/302/83547302_1676521029077_1_140x140.JPG/dims/resize/Q_80,0",CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
9,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/322/594/82322594_1633671778123_1_140x140.JPG/dims/resize/Q_80,0",사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
10,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0",Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
11,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/614/128/82614128_1648619377015_1_140x140.JPG/dims/resize/Q_80,0",사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
12,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",우리들의 블루스,임영웅,IM HERO
13,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/506/719/83506719_1676363663803_1_140x140.JPG/dims/resize/Q_80,0",Teddy Bear,STAYC (스테이씨),Teddy Bear
14,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/556/186/83556186_1676621348326_1_140x140.JPG/dims/resize/Q_80,0",심 (心),DK (디셈버),심 (心)
15,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0",London Boy,임영웅,Polaroid
16,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",다시 만날 수 있을까,임영웅,IM HERO
17,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/325/577/83325577_1672649874616_1_140x140.JPG/dims/resize/Q_80,0",OMG,NewJeans,NewJeans 'OMG'
18,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",I Don't Think That I Like Her,Charlie Puth,CHARLIE
19,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",먼지,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
20,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/180/213/83180213_1668490985544_1_140x140.JPG/dims/resize/Q_80,0",Polaroid,임영웅,Polaroid
21,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/410/156/81410156_1585878705990_1_140x140.JPG/dims/resize/Q_80,0",이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
22,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",무지개,임영웅,IM HERO
23,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",I Don't Understand But I Luv U,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
24,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",Fire,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
25,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",아버지,임영웅,IM HERO
26,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",A bientot,임영웅,IM HERO
27,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",손이 참 곱던 그대,임영웅,IM HERO
28,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0",April shower,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
29,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",사랑해 진짜,임영웅,IM HERO
30,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",연애편지,임영웅,IM HERO
31,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/343/048/83343048_1671754828445_1_140x140.JPG/dims/resize/Q_80,0",건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
32,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",인생찬가,임영웅,IM HERO
33,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/984/82912984_1661135567760_1_140x140.JPG/dims/resize/Q_80,0",After LIKE,IVE (아이브),After LIKE
34,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/032/82638032_1651479062721_1_140x140.JPG/dims/resize/Q_80,0",보금자리,임영웅,IM HERO
35,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/753/294/83753294_1682217487712_1_140x140.JPG/dims/resize/Q_80,0",Sunday Night Drive,박재범,Sunday Night Drive
36,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/748/133/83748133_1681960235531_1_140x140.JPG/dims/resize/Q_80,0",헤어지자 말해요,박재정,1집 Alone
37,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/571/396/83571396_1677134962111_1_140x140.JPG/dims/resize/Q_80,0",Cupid,FIFTY FIFTY,The Beginning : Cupid
38,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0",Attention,NewJeans,NewJeans 1st EP 'New Jeans'
39,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/624/363/82624363_1649123068092_1_140x140.JPG/dims/resize/Q_80,0",LOVE DIVE,IVE (아이브),LOVE DIVE
40,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/732/573/83732573_1681437757420_1_140x140.JPG/dims/resize/Q_80,0",FRIEND THE END,볼빨간사춘기,사랑.zip
41,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/673/272/80673272_1617265225691_1_140x140.JPG/dims/resize/Q_80,0",Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
42,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/082/184/83082184_1665969939180_1_140x140.JPG/dims/resize/Q_80,0",ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
43,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/540/759/82540759_1645152997958_1_140x140.JPG/dims/resize/Q_80,0",사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
44,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/908/447/82908447_1660714837418_1_140x140.JPG/dims/resize/Q_80,0",NIGHT DANCER,imase,NIGHT DANCER
45,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/652/253/83652253_1679632743168_1_140x140.JPG/dims/resize/Q_80,0",밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night)
46,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/742/352/83742352_1682312610184_1_140x140.JPG/dims/resize/Q_80,0",마치 (Feat. 키드밀리),meenoi (미노이),마치
47,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/639/088/82639088_1653623843808_1_140x140.JPG/dims/resize/Q_80,0",HOT,세븐틴 (SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
48,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/401/547/80401547_1392172764399_1_140x140.JPG/dims/resize/Q_80,0",너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마)
49,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_140x140.JPG/dims/resize/Q_80,0",The Drum,Alan Walker,"Walkerverse, Pt. I"
50,"https://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",That's Hilarious,Charlie Puth,CHARLIE
